title,company,location,link
Product Test Engineer - GPU,NVIDIA,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=48ca423ba9cc3be4
2020 신입생 ICT/바이오 하이테크 대졸자 취업연계 과정,한국폴리텍대학융합기술교육원,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ca7da7655917c156
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=432b169b273d9964
기업부설연구소 블록체인 프로그래머 경력자,케이포시큐리티,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5f8e5223dee07bb5
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07375dc4e800dfa9
Application Backend Developer,BOEING,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a8ed60198075d112
Software Developer - Front-End / Back-End,AITRICS,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5123207a169f90eb
SDET Engineer,Nielsen,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c46c1d3d5b3fb904
[정규직] Healthcare 컨설팅/사업개발/AI 전문가,SK 씨앤씨,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb6e767a3051c6e5
대용량 분산 스토리지 개발자,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=37d1f6dbb37f8a38
데이터 플랫폼 개발,NHN PAYCO,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a65baa1929f29393
빅데이터 및 AI기반의 마케팅 마케터 및 플랫폼기획자,컨셉터스(CONCEPTERS),서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=81bedf2d7bac42ba
